"UWI","WELLBORE","TOP_MD","BASE_MD","TOP_TVD","BASE_TVD","STRAT_UNIT_CD","STRAT_UNIT_NM","X_TOP","Y_TOP","X_BASE","Y_BASE","WELL_UWI","WELL_NAME","CRS","DEPTH_UNITS"
"7587","L10-E-08","0","1555","-38.2","1465.38","N","North Sea Supergroup","582189","5921226","581963","5921423","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","1555","2512.5","1465.38","2314.74","CKGR","Ommelanden Formation","581963","5921423","581718","5921787","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","2512.5","2606","2314.74","2392.34","CKTXM","Texel Marlstone Member","581718","5921787","581686","5921828","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","2606","2723","2392.34","2488.91","KNGLU","Upper Holland Marl Member","581686","5921828","581642","5921878","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","2723","2758","2488.91","2518.19","KNGLM","Middle Holland Claystone Member","581642","5921878","581629","5921892","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","2758","2977.5","2518.19","2707.07","KNNC","Vlieland Claystone Formation","581629","5921892","581549","5921970","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","2977.5","3018","2707.07","2742.76","RBMVL","Lower Volpriehausen Sandstone Member","581549","5921970","581535","5921983","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3018","3043","2742.76","2764.86","RBSHR","Rogenstein Member","581535","5921983","581527","5921991","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3043","3043","2764.86","2764.86","FAULT","FAULT","581527","5921991","581527","5921991","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3043","3544","2764.86","3206.2","ZESAU","Upper Zechstein salt","581527","5921991","581355","5922154","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3544","3544","3206.2","3206.2","FAULT","FAULT","581355","5922154","581355","5922154","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3544","3587","3206.2","3244.32","ZEZ3C","Z3 Carbonate Member","581355","5922154","581340","5922168","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3587","3622","3244.32","3275.4","ZEZ3A","Z3 Main Anhydrite Member","581340","5922168","581329","5922179","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3622","3622","3275.4","3275.4","FAULT","FAULT","581329","5922179","581329","5922179","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3622","3666.5","3275.4","3314.58","ZEZ3H","Z3 Salt Member","581329","5922179","581314","5922194","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3666.5","3688","3314.58","3333.38","ZEZ3A","Z3 Main Anhydrite Member","581314","5922194","581306","5922201","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3688","3709","3333.38","3351.64","ZEZ3C","Z3 Carbonate Member","581306","5922201","581299","5922208","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3709","3985","3351.64","3587.73","ZEZ2H","Z2 Salt Member","581299","5922208","581197","5922309","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3985","3996","3587.73","3597.13","ZEZ2A","Z2 Basal Anhydrite Member","581197","5922309","581193","5922313","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","3996","4022.5","3597.13","3619.75","ZEZ2C","Z2 Carbonate Member","581193","5922313","581183","5922323","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","4022.5","4070","3619.75","3660.25","ZEZ1","Z1 (Werra) Formation","581183","5922323","581166","5922341","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","4070","4128.5","3660.25","3710.12","ROCLT","Ten Boer Member","581166","5922341","581145","5922363","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","4128.5","4231","3710.12","3797.49","ROSLU","Upper Slochteren Member","581145","5922363","581107","5922401","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","4231","4283.5","3797.49","3842.25","ROCLA","Ameland Member","581107","5922401","581088","5922421","7587","L10-E-08","ED50 / UTM zone 31N ","M"
"7587","L10-E-08","4283.5","4369","3842.25","3915.13","ROSLL","Lower Slochteren Member","581088","5922421","581057","5922453","7587","L10-E-08","ED50 / UTM zone 31N ","M"
